Year,t2m
1836,263.7231750488281
1837,263.6408996582031
1838,264.2022705078125
1839,264.0419921875
1840,263.9869689941406
1841,264.109130859375
1842,263.5653381347656
1843,263.7229919433594
1844,263.72503662109375
1845,263.3950500488281
1846,264.07135009765625
1847,263.5537109375
1848,263.4974670410156
1849,263.6743469238281
1850,264.1540832519531
1851,264.17791748046875
1852,264.4289245605469
1853,264.30950927734375
1854,264.6783752441406
1855,264.4810791015625
1856,263.92535400390625
1857,264.3413391113281
1858,264.6537780761719
1859,264.65924072265625
1860,264.4427795410156
1861,263.9932556152344
1862,264.06396484375
1863,264.45343017578125
1864,264.4158630371094
1865,264.3016662597656
1866,264.4611511230469
1867,264.1705322265625
1868,264.40765380859375
1869,264.5629577636719
1870,264.4834899902344
1871,263.9871826171875
1872,264.3587646484375
1873,264.28314208984375
1874,264.24200439453125
1875,264.0683898925781
1876,264.0865478515625
1877,264.2466125488281
1878,265.02301025390625
1879,264.7473449707031
1880,264.41522216796875
1881,264.7266845703125
1882,264.4039001464844
1883,264.69482421875
1884,264.201904296875
1885,264.12176513671875
1886,264.17962646484375
1887,263.949951171875
1888,264.1953125
1889,264.937744140625
1890,263.9119873046875
1891,264.3926696777344
1892,264.4450988769531
1893,264.4501647949219
1894,263.9971923828125
1895,264.5011291503906
1896,264.6072692871094
1897,264.7039794921875
1898,264.0517883300781
1899,264.2221984863281
1900,264.6619873046875
1901,264.4040832519531
1902,263.44342041015625
1903,264.07757568359375
1904,263.5121154785156
1905,264.41802978515625
1906,264.6589660644531
1907,264.0307922363281
1908,264.3878173828125
1909,264.3341064453125
1910,264.01971435546875
1911,263.9700622558594
1912,263.989990234375
1913,264.5318298339844
1914,264.4256286621094
1915,264.4109191894531
1916,264.52392578125
1917,264.5915222167969
1918,264.40338134765625
1919,264.8700866699219
1920,264.83551025390625
1921,264.8153381347656
1922,264.37335205078125
1923,264.3182373046875
1924,264.7767333984375
1925,264.36944580078125
1926,264.55267333984375
1927,264.6159362792969
1928,264.88671875
1929,264.4527893066406
1930,264.9952392578125
1931,264.8679504394531
1932,264.96807861328125
1933,264.7116394042969
1934,265.1927795410156
1935,264.6820373535156
1936,264.8412780761719
1937,264.97528076171875
1938,265.23492431640625
1939,264.6077880859375
1940,264.52923583984375
1941,264.037353515625
1942,264.6495361328125
1943,265.03466796875
1944,265.2091064453125
1945,265.0196838378906
1946,264.44671630859375
1947,265.0093078613281
1948,264.1619567871094
1949,264.3358459472656
1950,264.2681579589844
1951,264.1518859863281
1952,264.3545837402344
1953,265.0182189941406
1954,265.115478515625
1955,264.0644226074219
1956,264.25628662109375
1957,264.57025146484375
1958,264.1764831542969
1959,264.91705322265625
1960,264.654296875
1961,264.4082946777344
1962,264.628662109375
1963,264.3299865722656
1964,264.1717834472656
1965,264.23223876953125
1966,263.8374328613281
1967,264.9613342285156
1968,264.45672607421875
1969,264.61962890625
1970,264.66571044921875
1971,264.5905456542969
1972,264.6893005371094
1973,265.0956115722656
1974,264.593994140625
1975,265.11639404296875
1976,264.692626953125
1977,264.9563903808594
1978,264.6906433105469
1979,264.2294616699219
1980,264.97723388671875
1981,265.41973876953125
1982,264.1758117675781
1983,264.68780517578125
1984,264.8218078613281
1985,264.8773193359375
1986,264.83941650390625
1987,264.1798400878906
1988,264.827880859375
1989,264.84381103515625
1990,265.2071533203125
1991,265.2816162109375
1992,264.7334289550781
1993,265.193603515625
1994,265.03521728515625
1995,266.1609191894531
1996,265.52764892578125
1997,265.2440185546875
1998,264.9756164550781
1999,265.14495849609375
2000,265.29638671875
2001,265.5985107421875
2002,265.6175537109375
2003,265.85400390625
2004,265.193603515625
2005,266.57745361328125
2006,266.3399963378906
2007,266.65496826171875
2008,266.12725830078125
2009,265.8565368652344
2010,266.6342468261719
2011,266.6680908203125
2012,266.7112121582031
2013,266.36944580078125
2014,266.83050537109375
2015,266.5532531738281
